Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Ventas_Clase,Nota PEGI,User Score,User Ratings Count,Estado_Consola,Price,Price_Platform,Year_Consola,Play Time,Modo Juego,Años_desde_lanzamiento_consola,Precio_relativo,PEGI_categoria,Duracion_juego_cat,Nombre_Base,Es_Saga,Tipo_Saga,Situacion_Economica
Clock Tower II: The Struggle Within,PlayStation,1998,Adventure,Human Entertainment,0.02,0.01,0.12,0.01,0.17,Normal,3,7.1,11,Consola Obsoleta,49.99,299.0,1994,17.146198830409357,Individual,4,0.16719063545150503,Infantil,Medio,clock tower the struggle within,0,No saga,Crecimiento
Batman Beyond: Return of the Joker,PlayStation,2000,Action,Ubisoft,0.09,0.06,0.0,0.01,0.17,Normal,16,7.740625,96,Consola Obsoleta,49.99,299.0,1994,11.369853454291695,Multijugador,6,0.16719063545150503,Adulto,Medio,batman beyond return of the joker,1,Saga,Crecimiento
Surf's Up,Nintendo Wii,2007,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.17,Normal,12,6.3,24,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,1,0.20076305220883536,Adolescente,Corto,surfs up,1,Saga,Crecimiento
Jikkyou Powerful Pro Baseball 2016,PlayStation 4,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,Normal,3,5.652941176470588,200,Consola Activa,69.99,399.0,2013,1.0,Multijugador,3,0.17541353383458647,Infantil,Corto,jikkyou powerful pro baseball,1,Saga,Crecimiento
Mega Man Network Transmission,GameCube,2003,Platform,Capcom,0.13,0.03,0.0,0.0,0.17,Normal,3,6.1,17,Consola Obsoleta,49.99,199.0,2001,6.502242152466367,Individual,2,0.25120603015075377,Infantil,Medio,mega man network transmission,0,No saga,Crecimiento
I'm A Celebrity: Get Me Out of Here!,Nintendo Wii,2009,Misc,Mindscape,0.0,0.16,0.0,0.01,0.17,Normal,3,6.43050847457627,21,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,3,0.20076305220883536,Infantil,Corto,m a celebrity get me out of here,1,Saga,Recesion
Pursuit Force,PlayStation Portable,2005,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.02,0.17,Normal,16,7.5,48,Consola Obsoleta,39.99,249.0,2004,5.527093596059113,Multijugador,1,0.1606024096385542,Adulto,Medio,pursuit force,0,No saga,Crecimiento
Densetsu no Stafi 4,Nintendo DS,2006,Platform,Nintendo,0.0,0.0,0.17,0.0,0.17,Normal,3,7.31860465116279,39,Consola Obsoleta,39.99,149.0,2004,6.0,Individual,2,0.26838926174496647,Infantil,Medio,densetsu no stafi,1,Saga,Crecimiento
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PlayStation 2,2008,Role-Playing,Atlus,0.0,0.0,0.17,0.0,0.17,Normal,16,7.4920353982300885,28,Consola Obsoleta,49.99,399.0,2000,32.212765957446805,Individual,8,0.12528822055137845,Adulto,Largo,shin megami tensei devil summoner raidou kuzunoha vs king abaddon,1,Saga,Recesion
Naval Assault: The Killing Tide,Xbox 360,2010,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17,Normal,16,4.4,7,Consola Obsoleta,59.99,299.0,2005,8.617886178861788,Individual,5,0.20063545150501672,Adulto,Medio,naval assault the killing tide,0,No saga,Crecimiento
Tokimeki Memorial: Private Collection,PlayStation,1996,Misc,Konami Digital Entertainment,0.0,0.0,0.16,0.01,0.17,Normal,3,7.15,22,Consola Obsoleta,49.99,299.0,1994,2.6051502145922747,Multijugador,2,0.16719063545150503,Infantil,Corto,tokimeki memorial private collection,0,No saga,Crecimiento
RC Revenge Pro,PlayStation 2,2000,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.17,Normal,3,8.7,6,Consola Obsoleta,49.99,399.0,2000,5.527093596059113,Multijugador,0,0.12528822055137845,Infantil,Medio,rc revenge pro,0,No saga,Crecimiento
Valkyria Chronicles,PlayStation 4,2016,Role-Playing,Sega,0.06,0.04,0.05,0.02,0.17,Normal,16,8.7,344,Consola Activa,69.99,399.0,2013,50.0,Individual,3,0.17541353383458647,Adulto,Largo,valkyria chronicles,1,Saga,Crecimiento
Hellboy: The Science of Evil,PlayStation 3,2008,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.02,0.17,Normal,16,7.0995815899581585,115,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,2,0.10015025041736228,Adulto,Medio,hellboy the science of evil,1,Saga,Recesion
Backyard Wrestling: Don't Try This at Home,Xbox,2003,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,Normal,18,5.1,9,Consola Obsoleta,59.99,299.0,2001,2.925531914893617,Multijugador,2,0.20063545150501672,Adulto,Corto,backyard wrestling dont try this at home,1,Saga,Crecimiento
Zoo Keeper,Nintendo DS,2004,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.17,Normal,3,6.9581395348837205,14,Consola Obsoleta,39.99,149.0,2004,10.0,Individual,0,0.26838926174496647,Infantil,Medio,zoo keeper,0,No saga,Crecimiento
Gauntlet: Dark Legacy,Xbox,2002,Action,Midway Games,0.13,0.04,0.0,0.01,0.17,Normal,16,8.5,15,Consola Obsoleta,59.99,299.0,2001,11.369853454291695,Multijugador,1,0.20063545150501672,Adulto,Medio,gauntlet dark legacy,1,Saga,Crecimiento
Toukiden Kiwami,PlayStation 4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,Normal,18,7.371428571428571,272,Consola Activa,69.99,399.0,2013,11.369853454291695,Multijugador,2,0.17541353383458647,Adulto,Medio,toukiden kiwami,1,Saga,Crecimiento
Far East of Eden II: Manji Maru,PlayStation 2,2003,Role-Playing,Hudson Soft,0.0,0.0,0.17,0.0,0.17,Normal,16,7.4920353982300885,28,Consola Obsoleta,49.99,399.0,2000,32.212765957446805,Individual,3,0.12528822055137845,Adulto,Largo,far east of eden manji maru,1,Saga,Crecimiento
Lost Kingdoms,GameCube,2002,Role-Playing,Activision,0.1,0.02,0.04,0.0,0.17,Normal,16,8.2,14,Consola Obsoleta,49.99,199.0,2001,32.212765957446805,Individual,1,0.25120603015075377,Adulto,Largo,lost kingdoms,1,Saga,Crecimiento
WRC 2: FIA World Rally Championship,PlayStation 3,2011,Racing,Ubisoft,0.0,0.13,0.0,0.04,0.17,Normal,3,6.7892857142857155,68,Consola Obsoleta,59.99,599.0,2006,5.527093596059113,Multijugador,5,0.10015025041736228,Infantil,Medio,wrc fia world rally championship,1,Saga,Crecimiento
Blood Bowl,Xbox 360,2009,Sports,Focus Home Interactive,0.13,0.03,0.0,0.01,0.17,Normal,16,5.3,24,Consola Obsoleta,59.99,299.0,2005,1.2902584493041749,Multijugador,4,0.20063545150501672,Adulto,Corto,blood bowl,1,Saga,Recesion
Matchbox Cross Town Heroes,Game Boy Advance,2002,Racing,THQ,0.12,0.04,0.0,0.0,0.17,Normal,3,6.725925925925925,28,Consola Obsoleta,39.99,120.0,2001,5.527093596059113,Multijugador,1,0.33325,Infantil,Medio,matchbox cross town heroes,0,No saga,Crecimiento
Wolfenstein 3D,Game Boy Advance,2002,Shooter,BAM! Entertainment,0.12,0.04,0.0,0.0,0.17,Normal,18,7.7,75,Consola Obsoleta,39.99,120.0,2001,6.828877005347594,Multijugador,1,0.33325,Adulto,Medio,wolfenstein d,0,No saga,Crecimiento
Nobunaga no Yabou: Tenshoki,Super Nintendo Entertainment System,1996,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17,Normal,12,6.8,13,Consola Obsoleta,59.99,299.0,1990,23.675675675675677,Multijugador,6,0.20063545150501672,Adolescente,Largo,nobunaga no yabou tenshoki,1,Saga,Crecimiento
Learning to Spell,Nintendo DS,2010,Misc,505 Games,0.16,0.0,0.0,0.01,0.17,Normal,3,6.324137931034483,15,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,6,0.26838926174496647,Infantil,Corto,learning to spell,0,No saga,Crecimiento
"Go, Diego, Go! Safari Rescue",Nintendo DS,2007,Adventure,Take-Two Interactive,0.15,0.01,0.0,0.01,0.17,Normal,16,7.254838709677419,25,Consola Obsoleta,39.99,149.0,2004,15.0,Individual,3,0.26838926174496647,Adulto,Medio,go diego go safari rescue,1,Saga,Crecimiento
Super Power League,Super Nintendo Entertainment System,1993,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17,Normal,3,7.098562160023079,27,Consola Obsoleta,59.99,299.0,1990,1.2902584493041749,Multijugador,3,0.20063545150501672,Infantil,Corto,super power league,1,Saga,Crecimiento
Easy Piano,Nintendo DS,2009,Misc,Game Life,0.04,0.11,0.0,0.02,0.17,Normal,3,6.324137931034483,15,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,5,0.26838926174496647,Infantil,Corto,easy piano,0,No saga,Recesion
Street Fighter Alpha 2,Super Nintendo Entertainment System,1996,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17,Normal,16,7.033333333333334,81,Consola Obsoleta,59.99,299.0,1990,2.925531914893617,Multijugador,6,0.20063545150501672,Adulto,Corto,street fighter alpha,1,Saga,Crecimiento
Dragon Quest X,Nintendo 3DS,2014,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,Normal,16,7.405882352941176,202,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,3,0.15996000000000002,Adulto,Largo,dragon quest,1,Saga,Crecimiento
Payday 2,Xbox One,2015,Shooter,505 Games,0.08,0.07,0.0,0.01,0.17,Normal,18,4.0,4041,Consola Activa,69.99,499.0,2013,6.0,Multijugador,2,0.14026052104208417,Adulto,Medio,payday,1,Saga,Crecimiento
25 to Life,Xbox,2006,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,Normal,18,5.1,22,Consola Obsoleta,59.99,299.0,2001,6.828877005347594,Multijugador,5,0.20063545150501672,Adulto,Medio,to life,1,Saga,Crecimiento
Sumikko Gurashi: Koko ga Ochitsukundesu,Nintendo 3DS,2014,Action,Nippon Columbia,0.0,0.0,0.17,0.0,0.17,Normal,12,6.864062500000001,88,Consola Secundaria,39.99,250.0,2011,11.369853454291695,Multijugador,3,0.15996000000000002,Adolescente,Medio,sumikko gurashi koko ga ochitsukundesu,0,No saga,Crecimiento
