Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Ventas_Clase,Nota PEGI,User Score,User Ratings Count,Estado_Consola,Price,Price_Platform,Year_Consola,Play Time,Modo Juego,Años_desde_lanzamiento_consola,Precio_relativo,PEGI_categoria,Duracion_juego_cat,Nombre_Base,Es_Saga,Tipo_Saga,Situacion_Economica
Wii Sports,Nintendo Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Muy Alta,3,7.9,474,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,0,0.20076305220883536,Infantil,Corto,wii sports,0,No saga,Crecimiento
Super Mario Bros.,Nintendo Entertainment System,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Muy Alta,3,8.3,138,Consola Obsoleta,49.99,199.0,1983,3.0,Individual,2,0.25120603015075377,Infantil,Corto,super mario bros,1,Saga,Crecimiento
Mario Kart Wii,Nintendo Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Muy Alta,3,8.6,1073,Consola Obsoleta,49.99,249.0,2006,6.0,Multijugador,2,0.20076305220883536,Infantil,Medio,mario kart wii,0,No saga,Recesion
Wii Sports Resort,Nintendo Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Muy Alta,3,8.4,334,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,3,0.20076305220883536,Infantil,Corto,wii sports resort,0,No saga,Recesion
Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,7,0.35233480176211457,Infantil,Medio,pokemon redpokemon blue,0,No saga,Crecimiento
Tetris,Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Muy Alta,3,8.4,9,Consola Obsoleta,39.99,113.5,1989,8.777049180327868,Individual,0,0.35233480176211457,Infantil,Medio,tetris,1,Saga,Crecimiento
New Super Mario Bros.,Nintendo DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Muy Alta,3,8.6,852,Consola Obsoleta,39.99,149.0,2004,6.0,Individual,2,0.26838926174496647,Infantil,Medio,new super mario bros,1,Saga,Crecimiento
Wii Play,Nintendo Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Muy Alta,3,6.6,130,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,0,0.20076305220883536,Infantil,Corto,wii play,0,No saga,Crecimiento
New Super Mario Bros. Wii,Nintendo Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,Muy Alta,3,8.3,924,Consola Obsoleta,49.99,249.0,2006,10.0,Individual,3,0.20076305220883536,Infantil,Medio,new super mario bros wii,0,No saga,Recesion
Duck Hunt,Nintendo Entertainment System,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Muy Alta,3,6.55,10,Consola Obsoleta,49.99,199.0,1983,1.0,Multijugador,1,0.25120603015075377,Infantil,Corto,duck hunt,0,No saga,Crecimiento
Nintendogs,Nintendo DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Muy Alta,3,7.0346153846153845,14,Consola Obsoleta,39.99,149.0,2004,5.0,Individual,1,0.26838926174496647,Infantil,Corto,nintendogs,0,No saga,Crecimiento
Mario Kart DS,Nintendo DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Muy Alta,3,8.7,776,Consola Obsoleta,39.99,149.0,2004,5.0,Multijugador,1,0.26838926174496647,Infantil,Corto,mario kart ds,0,No saga,Crecimiento
Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,10,0.35233480176211457,Infantil,Medio,pokemon goldpokemon silver,0,No saga,Crecimiento
Wii Fit,Nintendo Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Muy Alta,3,7.6,62,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,1,0.20076305220883536,Infantil,Corto,wii fit,0,No saga,Crecimiento
Wii Fit Plus,Nintendo Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Muy Alta,3,7.6,72,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,3,0.20076305220883536,Infantil,Corto,wii fit plus,0,No saga,Recesion
Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Muy Alta,3,6.3,134,Consola Obsoleta,59.99,299.0,2005,2.6051502145922747,Multijugador,5,0.20063545150501672,Infantil,Corto,kinect adventures,0,No saga,Crecimiento
Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Muy Alta,18,8.4,9576,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,7,0.10015025041736228,Adulto,Medio,grand theft auto,1,Saga,Crecimiento
Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Muy Alta,18,9.2,3467,Consola Obsoleta,49.99,399.0,2000,15.0,Multijugador,4,0.12528822055137845,Adulto,Medio,grand theft auto san andreas,1,Saga,Crecimiento
Super Mario World,Super Nintendo Entertainment System,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,Muy Alta,3,7.716666666666666,56,Consola Obsoleta,59.99,299.0,1990,6.502242152466367,Individual,0,0.20063545150501672,Infantil,Medio,super mario world,1,Saga,Crecimiento
Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,Muy Alta,3,6.324137931034483,15,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,1,0.26838926174496647,Infantil,Corto,brain age train your brain in minutes a day,0,No saga,Crecimiento
Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,2,0.26838926174496647,Adolescente,Largo,pokemon diamondpokemon pearl,0,No saga,Crecimiento
Super Mario Land,Game Boy,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,Muy Alta,3,8.033333333333333,88,Consola Obsoleta,39.99,113.5,1989,1.5,Individual,0,0.35233480176211457,Infantil,Corto,super mario land,0,No saga,Crecimiento
Super Mario Bros. 3,Nintendo Entertainment System,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,Muy Alta,3,7.833333333333333,42,Consola Obsoleta,49.99,199.0,1983,3.0,Individual,5,0.25120603015075377,Infantil,Corto,super mario bros,1,Saga,Crecimiento
Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,Muy Alta,18,8.4,9576,Consola Obsoleta,59.99,299.0,2005,11.369853454291695,Multijugador,8,0.20063545150501672,Adulto,Medio,grand theft auto,1,Saga,Crecimiento
Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Muy Alta,18,8.8,1651,Consola Obsoleta,49.99,399.0,2000,15.0,Multijugador,2,0.12528822055137845,Adulto,Medio,grand theft auto vice city,1,Saga,Crecimiento
Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,Muy Alta,3,7.9750000000000005,23,Consola Obsoleta,39.99,120.0,2001,32.212765957446805,Individual,1,0.33325,Infantil,Largo,pokemon rubypokemon sapphire,0,No saga,Crecimiento
Pokemon Black/Pokemon White,Nintendo DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,6,0.26838926174496647,Adolescente,Largo,pokemon blackpokemon white,0,No saga,Crecimiento
Brain Age 2: More Training in Minutes a Day,Nintendo DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,Muy Alta,3,7.2,16,Consola Obsoleta,39.99,149.0,2004,10.0,Individual,1,0.26838926174496647,Infantil,Medio,brain age more training in minutes a day,0,No saga,Crecimiento
Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,Muy Alta,3,8.4,378,Consola Obsoleta,49.99,399.0,2000,5.527093596059113,Multijugador,1,0.12528822055137845,Infantil,Medio,gran turismo a spec,0,No saga,Recesion
Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Muy Alta,18,3.6,8929,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,6,0.20063545150501672,Adulto,Medio,call of duty modern warfare,1,Saga,Crecimiento
Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,20.0,Individual,9,0.35233480176211457,Infantil,Medio,pokmon yellow special pikachu,0,No saga,Crecimiento
Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,Muy Alta,18,6.8,1910,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,5,0.20063545150501672,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Pokemon X/Pokemon Y,Nintendo 3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,Muy Alta,16,7.405882352941176,202,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,2,0.15996000000000002,Adulto,Largo,pokemon pokemon y,0,No saga,Crecimiento
Call of Duty: Black Ops 3,PlayStation 4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,Muy Alta,18,6.545833333333334,1602,Consola Activa,69.99,399.0,2013,8.0,Multijugador,2,0.17541353383458647,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,Muy Alta,18,5.6,2833,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,6,0.10015025041736228,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,Muy Alta,18,5.6,2833,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,7,0.20063545150501672,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,Muy Alta,18,7.6,1851,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,4,0.20063545150501672,Adulto,Medio,call of duty modern warfare,1,Saga,Recesion
Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,Muy Alta,18,3.6,8929,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,5,0.10015025041736228,Adulto,Medio,call of duty modern warfare,1,Saga,Crecimiento
Grand Theft Auto III,PlayStation 2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,Muy Alta,18,8.3,1224,Consola Obsoleta,49.99,399.0,2000,15.0,Multijugador,1,0.12528822055137845,Adulto,Medio,grand theft auto,1,Saga,Recesion
Super Smash Bros. Brawl,Nintendo Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Muy Alta,16,8.8,1491,Consola Obsoleta,49.99,249.0,2006,4.0,Multijugador,2,0.20076305220883536,Adulto,Corto,super smash bros brawl,0,No saga,Recesion
Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,Muy Alta,18,6.8,1910,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,4,0.10015025041736228,Adulto,Medio,call of duty black ops,1,Saga,Crecimiento
Animal Crossing: Wild World,Nintendo DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,Muy Alta,3,8.1,199,Consola Obsoleta,39.99,149.0,2004,5.0,Individual,1,0.26838926174496647,Infantil,Corto,animal crossing wild world,0,No saga,Crecimiento
Mario Kart 7,Nintendo 3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,Muy Alta,3,8.2,985,Consola Secundaria,39.99,250.0,2011,5.527093596059113,Multijugador,0,0.15996000000000002,Infantil,Medio,mario kart,1,Saga,Crecimiento
Halo 3,Xbox 360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Muy Alta,18,8.8,3104,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,2,0.20063545150501672,Adulto,Medio,halo,1,Saga,Crecimiento
Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,Muy Alta,18,8.4,9576,Consola Activa,69.99,399.0,2013,11.369853454291695,Multijugador,1,0.17541353383458647,Adulto,Medio,grand theft auto,1,Saga,Crecimiento
Pokemon HeartGold/Pokemon SoulSilver,Nintendo DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,Muy Alta,12,6.80204081632653,28,Consola Obsoleta,39.99,149.0,2004,7.0,Multijugador,5,0.26838926174496647,Adolescente,Medio,pokemon heartgoldpokemon soulsilver,0,No saga,Recesion
Super Mario 64,Nintendo 64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Muy Alta,3,8.4,499,Consola Obsoleta,59.99,210.0,1996,6.502242152466367,Individual,0,0.2856666666666667,Infantil,Medio,super mario,1,Saga,Crecimiento
Gran Turismo 4,PlayStation 2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,Muy Alta,3,9.2,877,Consola Obsoleta,49.99,399.0,2000,5.527093596059113,Multijugador,4,0.12528822055137845,Infantil,Medio,gran turismo,1,Saga,Crecimiento
Super Mario Galaxy,Nintendo Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Muy Alta,3,9.1,3483,Consola Obsoleta,49.99,249.0,2006,10.0,Individual,1,0.20076305220883536,Infantil,Medio,super mario galaxy,1,Saga,Crecimiento
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,Muy Alta,16,7.405882352941176,202,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,3,0.15996000000000002,Adulto,Largo,pokemon omega rubypokemon alpha sapphire,0,No saga,Crecimiento
Super Mario Land 2: 6 Golden Coins,Game Boy,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,Muy Alta,3,7.098562160023079,27,Consola Obsoleta,39.99,113.5,1989,15.0,Individual,3,0.35233480176211457,Infantil,Medio,super mario land golden coins,0,No saga,Recesion
Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,Muy Alta,18,8.2,3186,Consola Obsoleta,59.99,299.0,2005,11.369853454291695,Multijugador,3,0.20063545150501672,Adulto,Medio,grand theft auto,1,Saga,Recesion
Gran Turismo,PlayStation,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,Muy Alta,3,8.6,477,Consola Obsoleta,49.99,299.0,1994,5.527093596059113,Multijugador,3,0.16719063545150503,Infantil,Medio,gran turismo,1,Saga,Crecimiento
Super Mario 3D Land,Nintendo 3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,Muy Alta,3,8.4,1501,Consola Secundaria,39.99,250.0,2011,6.502242152466367,Individual,0,0.15996000000000002,Infantil,Medio,super mario d land,0,No saga,Crecimiento
Gran Turismo 5,PlayStation 3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,Muy Alta,3,7.8,1370,Consola Obsoleta,59.99,599.0,2006,5.527093596059113,Multijugador,4,0.10015025041736228,Infantil,Medio,gran turismo,1,Saga,Crecimiento
Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,Muy Alta,18,7.6,1851,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,3,0.10015025041736228,Adulto,Medio,call of duty modern warfare,1,Saga,Recesion
Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,Muy Alta,18,8.2,3186,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,2,0.10015025041736228,Adulto,Medio,grand theft auto,1,Saga,Recesion
Super Mario All-Stars,Super Nintendo Entertainment System,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,Muy Alta,3,7.7,105,Consola Obsoleta,59.99,299.0,1990,6.502242152466367,Individual,3,0.20063545150501672,Infantil,Medio,super mario all stars,0,No saga,Crecimiento
Pokemon FireRed/Pokemon LeafGreen,Game Boy Advance,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,Muy Alta,3,7.9750000000000005,23,Consola Obsoleta,39.99,120.0,2001,32.212765957446805,Individual,3,0.33325,Infantil,Largo,pokemon fireredpokemon leafgreen,0,No saga,Crecimiento
Super Mario 64,Nintendo DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,Muy Alta,3,8.4,499,Consola Obsoleta,39.99,149.0,2004,6.0,Individual,0,0.26838926174496647,Infantil,Medio,super mario,1,Saga,Crecimiento
Just Dance 3,Nintendo Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Muy Alta,12,7.7,19,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,5,0.20076305220883536,Adolescente,Corto,just dance,1,Saga,Crecimiento
Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,Muy Alta,18,4.3,1928,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,8,0.20063545150501672,Adulto,Medio,call of duty ghosts,1,Saga,Crecimiento
Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,Muy Alta,18,8.4,3151,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,5,0.20063545150501672,Adulto,Medio,halo reach,0,No saga,Crecimiento
Mario Kart 64,Nintendo 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,Muy Alta,3,8.5,516,Consola Obsoleta,59.99,210.0,1996,5.527093596059113,Multijugador,0,0.2856666666666667,Infantil,Medio,mario kart,1,Saga,Crecimiento
New Super Mario Bros. 2,Nintendo 3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,Muy Alta,3,7.1,741,Consola Secundaria,39.99,250.0,2011,6.502242152466367,Individual,1,0.15996000000000002,Infantil,Medio,new super mario bros,1,Saga,Crecimiento
Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,Muy Alta,18,7.1,3971,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,7,0.20063545150501672,Adulto,Medio,halo,1,Saga,Crecimiento
Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,Muy Alta,16,8.4,234,Consola Obsoleta,49.99,299.0,1994,32.212765957446805,Individual,3,0.16719063545150503,Adulto,Largo,final fantasy,1,Saga,Crecimiento
Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,Muy Alta,18,4.3,1928,Consola Obsoleta,59.99,599.0,2006,6.828877005347594,Multijugador,7,0.10015025041736228,Adulto,Medio,call of duty ghosts,1,Saga,Crecimiento
Just Dance 2,Nintendo Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Muy Alta,12,7.2,32,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,4,0.20076305220883536,Adolescente,Corto,just dance,1,Saga,Crecimiento
Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,Muy Alta,3,8.9,399,Consola Obsoleta,49.99,299.0,1994,5.527093596059113,Multijugador,5,0.16719063545150503,Infantil,Medio,gran turismo,1,Saga,Crecimiento
Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,Muy Alta,18,8.5,1452,Consola Obsoleta,59.99,299.0,2005,6.828877005347594,Multijugador,2,0.20063545150501672,Adulto,Medio,call of duty modern warfare,1,Saga,Crecimiento
Donkey Kong Country,Super Nintendo Entertainment System,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,Muy Alta,3,8.5,88,Consola Obsoleta,59.99,299.0,1990,6.502242152466367,Individual,4,0.20063545150501672,Infantil,Medio,donkey kong country,1,Saga,Crecimiento
Minecraft,Xbox 360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Muy Alta,12,7.9,1119,Consola Obsoleta,59.99,299.0,2005,2.6051502145922747,Multijugador,8,0.20063545150501672,Adolescente,Corto,minecraft,1,Saga,Crecimiento
Animal Crossing: New Leaf,Nintendo 3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,Muy Alta,3,8.7,946,Consola Secundaria,39.99,250.0,2011,8.617886178861788,Individual,1,0.15996000000000002,Infantil,Medio,animal crossing new leaf,0,No saga,Crecimiento
Mario Party DS,Nintendo DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,Muy Alta,3,7.8,166,Consola Obsoleta,39.99,149.0,2004,3.0,Multijugador,3,0.26838926174496647,Infantil,Corto,mario party ds,0,No saga,Crecimiento
The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,Muy Alta,18,8.6,5079,Consola Obsoleta,59.99,299.0,2005,32.212765957446805,Individual,6,0.20063545150501672,Adulto,Largo,the elder scrolls skyrim,1,Saga,Crecimiento
Super Mario Kart,Super Nintendo Entertainment System,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,Muy Alta,3,7.7,17,Consola Obsoleta,59.99,299.0,1990,5.527093596059113,Multijugador,2,0.20063545150501672,Infantil,Medio,super mario kart,0,No saga,Recesion
FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,Muy Alta,3,4.6,515,Consola Activa,69.99,399.0,2013,1.0,Multijugador,2,0.17541353383458647,Infantil,Corto,fifa,1,Saga,Crecimiento
Wii Party,Nintendo Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Muy Alta,3,8.0,130,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,4,0.20076305220883536,Infantil,Corto,wii party,0,No saga,Crecimiento
Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Muy Alta,18,8.9,1941,Consola Obsoleta,59.99,299.0,2001,6.828877005347594,Multijugador,3,0.20063545150501672,Adulto,Medio,halo,1,Saga,Crecimiento
Mario Party 8,Nintendo Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Muy Alta,3,6.7,247,Consola Obsoleta,49.99,249.0,2006,2.0,Multijugador,1,0.20076305220883536,Infantil,Corto,mario party,1,Saga,Crecimiento
Pokemon Black 2/Pokemon White 2,Nintendo DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,8,0.26838926174496647,Adolescente,Largo,pokemon black pokemon white,0,No saga,Crecimiento
FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,Muy Alta,3,6.4,478,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,6,0.10015025041736228,Infantil,Medio,fifa soccer,1,Saga,Crecimiento
The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Muy Alta,16,7.8,1152,Consola Activa,49.99,230.0,1980,8.617886178861788,Individual,29,0.21734782608695652,Adulto,Medio,the sims,1,Saga,Recesion
GoldenEye 007,Nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Muy Alta,16,8.9,857,Consola Obsoleta,59.99,210.0,1996,6.828877005347594,Multijugador,1,0.2856666666666667,Adulto,Medio,goldeneye,1,Saga,Crecimiento
Mario & Sonic at the Olympic Games,Nintendo Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Muy Alta,3,7.4,76,Consola Obsoleta,49.99,249.0,2006,1.0,Multijugador,1,0.20076305220883536,Infantil,Corto,mario sonic at the olympic games,1,Saga,Crecimiento
Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,Muy Alta,16,9.0,1836,Consola Obsoleta,49.99,399.0,2000,32.212765957446805,Individual,1,0.12528822055137845,Adulto,Largo,final fantasy,1,Saga,Recesion
Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,Muy Alta,16,8.7,1224,Consola Obsoleta,49.99,299.0,1994,32.212765957446805,Individual,5,0.16719063545150503,Adulto,Largo,final fantasy,1,Saga,Crecimiento
Pokémon Platinum Version,Nintendo DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,Muy Alta,12,7.362068965517241,24,Consola Obsoleta,39.99,149.0,2004,25.0,Individual,4,0.26838926174496647,Adolescente,Largo,pokmon platinum version,0,No saga,Recesion
Pac-Man,Atari 2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,Muy Alta,3,5.7,10,Consola Obsoleta,29.99,199.0,1977,8.777049180327868,Individual,5,0.15070351758793968,Infantil,Medio,pac man,1,Saga,Recesion
Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,Muy Alta,18,8.2,339,Consola Obsoleta,39.99,249.0,2004,11.369853454291695,Multijugador,1,0.1606024096385542,Adulto,Medio,grand theft auto liberty city stories,1,Saga,Crecimiento
Super Mario Galaxy 2,Nintendo Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Muy Alta,3,9.0,2545,Consola Obsoleta,49.99,249.0,2006,10.0,Individual,4,0.20076305220883536,Infantil,Medio,super mario galaxy,1,Saga,Crecimiento
Star Wars Battlefront (2015),PlayStation 4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,Muy Alta,18,6.545833333333334,1602,Consola Activa,69.99,399.0,2013,8.0,Multijugador,2,0.17541353383458647,Adulto,Medio,star wars battlefront,1,Saga,Crecimiento
Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,Muy Alta,18,5.8,1082,Consola Activa,69.99,399.0,2013,8.0,Multijugador,1,0.17541353383458647,Adulto,Medio,call of duty advanced warfare,1,Saga,Crecimiento
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,Muy Alta,3,9.1,8711,Consola Obsoleta,59.99,210.0,1996,11.369853454291695,Multijugador,2,0.2856666666666667,Infantil,Medio,the legend of zelda ocarina of time,1,Saga,Crecimiento
