Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Earth Defense Force 2017,3/20/2007,Sandlot,D3Publisher,Third Person Shooter,Rated T For Teen,7.6,41,"[{'Platform': 'Xbox 360', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 55 Critic Reviews'}]"
Conarium,6/6/2017,Zoetrope Interactive,Iceberg Interactive,First-Person Adventure,Rated T For Teen,6.2,66,"[{'Platform': 'PC', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
Colin McRae Rally,6/27/2013,,,Auto Racing Sim,,1.6,38,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
CivCity: Rome,7/24/2006,FireFly Studios,2K Games,Management,Rated E +10 For Everyone +10,6.1,18,"[{'Platform': 'PC', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 46 Critic Reviews'}]"
X-MEN ORIGINS: WOLVERINE,5/1/2009,Raven Software,Activision,3D Beat-'Em-Up,Rated M For Mature,8.1,98,"[{'Platform': 'Xbox 360', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 74 Critic Reviews'}, {'Platform': 'Wii', 'Platform Metascore': '53', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 61 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'PSP', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Bee Simulator,11/14/2019,Varsav Game Studios,Bigben Interactive,Open-World Action,Rated E For Everyone,5.6,34,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '47', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '58', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Desktop Dungeons: Rewind,4/18/2023,QCF Design,Prismatika,Roguelike,,,,"[{'Platform': 'PC', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Contra ReBirth,9/7/2009,M2,Konami,2D Platformer,Rated E +10 For Everyone +10,8.3,10,"[{'Platform': 'Wii', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}]"
LIT,2/9/2009,WayForward,WayForward,Action Puzzle,Rated E +10 For Everyone +10,,,"[{'Platform': 'Wii', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Batbarian: Testament of the Primordials,10/15/2020,Unspeakable Pixels,DANGEN Entertainment,Action Adventure,,8.5,14,"[{'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}]"
Forgotten Realms: Demon Stone,9/14/2004,Stormfront Studios,Atari SA,3D Beat-'Em-Up,Rated T For Teen,7.7,13,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 40 Critic Reviews'}, {'Platform': 'Xbox', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Tom Clancy's Splinter Cell: Conviction,4/13/2010,Ubisoft Montreal,Ubisoft,Action Adventure,Rated M For Mature,7.7,371,"[{'Platform': 'Xbox 360', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 90 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}]"
Mahjong Cub3d,10/11/2011,SunSoft,Atlus,Matching Puzzle,Rated E For Everyone,5.3,,"[{'Platform': '3DS', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Bomberman Max 2: Red Advance,5/30/2002,Hudson,Majesco,Action Puzzle,Rated E For Everyone,7.5,,"[{'Platform': 'Game Boy Advance', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
THOTH,1/9/2020,Jeppe Carlsen,Jeppe Carlsen,Top-Down Shoot-'Em-Up,Rated E For Everyone,,,"[{'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Ghost of Tsushima,7/17/2020,Sucker Punch,Sony Interactive Entertainment,Open-World Action,Rated M For Mature,9.1,21863,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 132 Critic Reviews'}]"
La-Mulana 2,7/30/2018,Nigoro,Active Gaming Media,Metroidvania,,7.7,18,"[{'Platform': 'PC', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
Theatrhythm Final Bar Line,2/16/2023,indieszero,Square Enix,Rhythm,Rated T For Teen,7.7,73,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 43 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 33 Critic Reviews'}]"
Hand of Fate 2,11/7/2017,Defiant Development,Defiant Development,Board,,7.3,88,"[{'Platform': 'PC', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 28 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 16 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
