Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Ziggurat (2012),2/17/2012,Action Button Entertainment,Freshuu Inc.,Action,,6.9,14,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,,"[{'Platform': 'Xbox', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
MotoGP 2 (2001),1/22/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,"[{'Platform': 'PC', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 39 Critic Reviews'}]"
Siege Survival: Gloria Victis,5/18/2021,FishTankStudio,Black Eye Games,RPG,,6.5,10,"[{'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,"[{'Platform': 'Wii', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 36 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 69 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Frantix: A Puzzle Adventure,9/19/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,,"[{'Platform': 'PSP', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}]"
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,"[{'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
Retrovirus,11/16/2012,Cadenza,Cadenza,FPS,,6.6,20,"[{'Platform': 'PC', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
Til Morning's Light,5/20/2015,WayForward,Amazon Game Studios,Action,,6.4,7,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
The Political Machine 2012,7/31/2012,Stardock,Stardock,Turn-Based Strategy,,6.5,30,"[{'Platform': 'PC', 'Platform Metascore': '54', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,"[{'Platform': 'PC', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 57 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 46 Critic Reviews'}]"
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}, {'Platform': 'Xbox', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 44 Critic Reviews'}, {'Platform': 'DS', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}, {'Platform': 'Game Boy Advance', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 13 Critic Reviews'}]"
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,"[{'Platform': 'PC', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 45 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 42 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,"[{'Platform': 'GameCube', 'Platform Metascore': '61', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '59', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}, {'Platform': 'Game Boy Advance', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,"[{'Platform': 'PC', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}]"
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}]"
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,"[{'Platform': 'PC', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,"[{'Platform': 'PSP', 'Platform Metascore': '89', 'Platform Metascore Count': 'Based on 55 Critic Reviews'}]"
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PSP', 'Platform Metascore': '43', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9,"[{'Platform': 'Xbox', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 34 Critic Reviews'}]"
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134,"[{'Platform': 'PC', 'Platform Metascore': '44', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}]"
Buzz! Junior: Dino Den,2/22/2008,Cohort Studios,SCEE,Trivia,,,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,190,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '89', 'Platform Metascore Count': 'Based on 44 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,102,"[{'Platform': 'PlayStation Vita', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 28 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,33,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,11,"[{'Platform': 'PlayStation 5', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'Meta Quest', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,14,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}]"
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,672,"[{'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}]"
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,27,"[{'Platform': 'PlayStation 3', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox 360', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,46,"[{'Platform': 'PC', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}]"
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,12,"[{'Platform': '3DS', 'Platform Metascore': '30', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Block Fortress,3/7/2013,,,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,128,"[{'Platform': 'Xbox 360', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 43 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}]"
Murder by Numbers,3/6/2020,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,23,"[{'Platform': 'PC', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}]"
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8,191,"[{'Platform': 'PSP', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 50 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 35 Critic Reviews'}]"
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,58,"[{'Platform': 'PC', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'Wii U', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '66', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}]"
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,11/28/2006,EA LA,EA Games,Real-Time Strategy,Rated T For Teen,8.8,129,"[{'Platform': 'PC', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}]"
MLB The Show 18,3/27/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,6.3,103,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 38 Critic Reviews'}]"
Smelter,4/22/2021,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 6 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '73', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}]"
Ninjatown: Trees Of Doom!,5/5/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
The Mage's Tale,6/20/2017,InXile Entertainment,InXile Entertainment,Adventure,Rated T For Teen,7.5,12,"[{'Platform': 'PC', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
The Witcher 3: Wild Hunt - Blood and Wine,5/30/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,9.1,4208,"[{'Platform': 'PC', 'Platform Metascore': '92', 'Platform Metascore Count': 'Based on 52 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '91', 'Platform Metascore Count': 'Based on 27 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '94', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Port Royale 4,9/25/2020,Gaming Minds Studios,Kalypso,Management,Rated E +10 For Everyone +10,5.2,17,"[{'Platform': 'PC', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}]"
Just Dance 2024 Edition,10/24/2023,Ubisoft,Ubisoft,Dancing,Rated E For Everyone,5.1,15,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '72', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '68', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Dying Light,1/27/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,2143,"[{'Platform': 'Xbox One', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '75', 'Platform Metascore Count': 'Based on 40 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '74', 'Platform Metascore Count': 'Based on 58 Critic Reviews'}]"
Tempo (2015),2/11/2015,Splash Damage,WARCHEST LIMITED,Action,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Conflict: Desert Storm,4/22/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,6,"[{'Platform': 'Xbox', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 14 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '56', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '55', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': '62', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}]"
Cut the Rope: Time Travel,4/18/2013,ZeptoLab,ZeptoLab,Logic Puzzle,,7,12,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Exerbeat,5/17/2011,Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7,7,"[{'Platform': 'Wii', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Far Cry 3: Blood Dragon,5/1/2013,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,413,"[{'Platform': 'Xbox 360', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 51 Critic Reviews'}, {'Platform': 'PlayStation 3', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 31 Critic Reviews'}]"
Yu-Gi-Oh! World Championship 2007,3/20/2007,Konami,Konami,Card Battle,Rated E For Everyone,7,20,"[{'Platform': 'DS', 'Platform Metascore': '76', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
MotoGP 2,5/21/2003,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,,"[{'Platform': 'Xbox', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '84', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
Bug Heroes 2,2/19/2014,,,Action,,6.1,8,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '90', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Swing Away Golf,10/25/2000,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 15 Critic Reviews'}]"
Counter-Strike: Source,10/7/2004,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,1352,"[{'Platform': 'PC', 'Platform Metascore': '88', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}]"
Super Crush K.O.,1/16/2020,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,13,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 27 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}]"
Allegiance,3/31/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,18,"[{'Platform': 'PC', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}]"
Harry Potter and the Prisoner of Azkaban,6/2/2004,EA Games,EA Games,Action Adventure,Rated E For Everyone,8,62,"[{'Platform': 'PC', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 22 Critic Reviews'}, {'Platform': 'Xbox', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 23 Critic Reviews'}]"
World of Final Fantasy,10/25/2016,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,411,"[{'Platform': 'PlayStation 4', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 82 Critic Reviews'}, {'Platform': 'PlayStation Vita', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 5 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Star Wars: Bounty Hunter,11/19/2002,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,43,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 32 Critic Reviews'}, {'Platform': 'GameCube', 'Platform Metascore': '67', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}]"
Half-Life,11/19/1998,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,4847,"[{'Platform': 'PC', 'Platform Metascore': '96', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}, {'Platform': 'PlayStation 2', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 24 Critic Reviews'}]"
Vader Immortal: Episode I,5/21/2019,ILMxLab,Disney Interactive Studios,First-Person Adventure,,7,14,"[{'Platform': 'PC', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Pool Panic,7/19/2018,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7,14,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '71', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
The Scourge Project: Episodes 1 and 2,4/9/2010,Tragnarion Studios,BITBOX S.L.,FPS,,3.5,17,"[{'Platform': 'PC', 'Platform Metascore': '44', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Bejeweled Twist,10/27/2008,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,14,"[{'Platform': 'PC', 'Platform Metascore': '78', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}, {'Platform': 'DS', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
Jak II,10/14/2003,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 47 Critic Reviews'}]"
Senran Kagura Reflexions,9/13/2018,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,49,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '39', 'Platform Metascore Count': 'Based on 18 Critic Reviews'}]"
World War II Online: Blitzkrieg,6/4/2001,Cornered Rat,Strategy First,FPS,Rated T For Teen,,,"[{'Platform': 'PC', 'Platform Metascore': '57', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}]"
Arena of Valor,9/25/2018,TiMi Studios,Tencent,MOBA,,6.7,60,"[{'Platform': 'Nintendo Switch', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
MLB 2006,3/8/2005,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,,,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 32 Critic Reviews'}]"
Majesty 2: Kingmaker,3/26/2010,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,10,"[{'Platform': 'PC', 'Platform Metascore': '60', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Bird Mania 3D,5/3/2012,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,19,"[{'Platform': '3DS', 'Platform Metascore': '51', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Heavy Fire: Red Shadow,10/16/2018,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,10,"[{'Platform': 'Xbox One', 'Platform Metascore': '40', 'Platform Metascore Count': 'Based on 4 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '38', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}]"
TRON RUN/r,2/16/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,22,"[{'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '64', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
Traitors Gate,4/30/2000,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,5,"[{'Platform': 'PC', 'Platform Metascore': '63', 'Platform Metascore Count': 'Based on 12 Critic Reviews'}]"
